record_id,title,year,journal,doi,final,rct_confirmed,participant_type,game_type,nwkm_levels,specialty,duration,platform,comparator_type,n_intervention,n_control,outcome_primary,meta_usable,exclusion_code,reason
ShinSH202641454676,Effectiveness of a Virtual Hospital Experience Game for Nursing Students' Patient Safety Learning: A Quasi-Randomized Trial.,2026,Western journal of nursing research,10.1177/01939459251396769,include,False,nursing student,serious game,L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),ordinary/self-study,29,26,"Patient safety knowledge (with attitude, confidence, willingness)",False,NONE,"On-topic virtual hospital game versus standard patient safety education in nursing students, but described as quasi-randomized so randomization not strictly confirmed."
BasakT202641373097,The Effect of an Escape Room Simulation on Postmortem Care Training For Nursing Students: A Randomized Controlled Trial.,2026,Journal of hospice and palliative nursing : JHPN : the official journal of the Hospice and Palliative Nurses Association,10.1097/NJH.0000000000001166,include,True,nursing student,gamification,L2,long-term care,single(<=1day),board/card/physical,lecture,,,"Postmortem care knowledge, self-efficacy, motivation",False,NONE,Parallel-group RCT of an escape room simulation versus control for postmortem care training in nursing students.
BashiriBonabE202541188890,Effectiveness of a digital game based study guide on head trauma assessment on knowledge and practical skills of nursing students: a quasi-experimental study.,2025,BMC medical education,10.1186/s12909-025-08122-6,include,False,nursing student,GBL,L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),lecture,,,Head trauma assessment knowledge and practical skills,False,NONE,Described as quasi-experimental but students were randomly assigned to digital game-based guide versus conventional sessions; nursing students with quantitative outcomes.
TanrkuluF202541039559,A comparison of 3D game-based simulation versus traditional methods in vital signs education.,2025,BMC medical education,10.1186/s12909-025-07980-4,include,True,nursing student,serious game,L1; L2,other basic nursing,unclear,digital(app/web),lecture,37,36,"Academic achievement, learning satisfaction, self-confidence",False,NONE,RCT of 3D game-based simulation versus traditional instruction for vital signs in nursing students.
AcunA202541032006,Learning With Fun: The Effect of Flipped Learning and Escape Room Method on Nursing Students' Infection Control Knowledge and Learning Skills.,2025,International journal of nursing practice,10.1111/ijn.70067,include,True,nursing student,gamification,L2,infection control/wound care,short(1wk-1mo),hybrid,ordinary/self-study,,,Infection control knowledge and self-directed learning skills,False,NONE,RCT of flipped learning plus escape room gamification versus control for infection control in nursing students.
ChienLY202541005050,The effect of gamified workshops on nurses' evidence-based practice competence: A randomized controlled trial.,2025,Nurse education in practice,10.1016/j.nepr.2025.104569,include,True,clinical nurse,gamification,L1; L2; L3,other basic nursing,single(<=1day),hybrid,case discussion,54,48,"Evidence-based practice competence (also self-efficacy, attitudes, satisfaction)",False,NONE,RCT of a gamified workshop versus case-based discussion for evidence-based practice competence in clinical nurses.
OzelH202640986456,"The Effect of Emergency Escape Room Simulation on Knowledge, Anxiety, and Satisfaction Levels of Students: A Randomized Controlled Trial.",2026,Games for health journal,10.1177/2161783X251378638,include,True,nursing student,gamification,L1; L2,critical care/CPR/medication safety,single(<=1day),board/card/physical,ordinary/self-study,20,20,"Emergency nursing knowledge, anxiety, satisfaction",False,NONE,RCT of an emergency escape room simulation versus traditional education in nursing students.
GhafouriR202540906731,"The effect of gamification on the medication knowledge, performance and satisfaction of nurses in continued medical education: A quasi-experimental study.",2025,PloS one,10.1371/journal.pone.0331372,include,False,clinical nurse,gamification,L1; L2,critical care/CPR/medication safety,short(1wk-1mo),digital(app/web),lecture,,,"Medication knowledge, performance, satisfaction",False,NONE,On-topic quasi-experimental study with nurses randomly assigned to Kahoot! gamification versus lecture; randomization stated but design labeled quasi-experimental.
QianW202540902280,"The effect of the ""Tears of Life"" situational puzzle board game on death anxiety among nursing students: A randomized controlled trial.",2025,Nurse education in practice,10.1016/j.nepr.2025.104539,include,True,nursing student,GBL,L2,communication/mental health,unclear,board/card/physical,ordinary/self-study,,,"Death anxiety (also meaning in life, self-esteem)",False,NONE,Parallel RCT of a situational puzzle board game versus reflective writing for death education in nursing students.
FijakoN202540882179,Exploring the Impact of Home-Based Serious Smartphone Resuscitation Gaming on Stress Among Nursing Students Practicing Simulated Adult Basic Life Support: Randomized Waitlist Controlled Trial.,2025,JMIR serious games,10.2196/67623,include,True,nursing student,serious game,L1,critical care/CPR/medication safety,short(1wk-1mo),digital(app/web),ordinary/self-study,22,21,Physiological stress markers during simulated adult BLS,False,NONE,Randomized waitlist controlled trial of a home-based serious resuscitation game versus waitlist in nursing students.
YilmazA202540818273,The effect of patient safety escape rooms on nursing students' knowledge level and team cooperation.,2025,Nurse education in practice,10.1016/j.nepr.2025.104507,include,True,nursing student,gamification,L2,critical care/CPR/medication safety,short(1wk-1mo),board/card/physical,ordinary/self-study,30,30,Patient safety knowledge and team cooperation,False,NONE,Randomized controlled experimental design of patient safety escape rooms versus traditional education in nursing students.
OrduY202540784135,The effect of gamified teaching material on nursing students' therapeutic communication skills and perception of nursing diagnoses in aggressive patient management: A randomized controlled study.,2025,Nurse education in practice,10.1016/j.nepr.2025.104503,include,True,nursing student,gamification,L2,communication/mental health,single(<=1day),board/card/physical,lecture,37,43,Therapeutic communication skills and perception of nursing diagnoses,False,NONE,Randomized controlled study of gamified teaching material versus lecture/Q&A for aggressive patient management in nursing students.
MohammadiA202540761887,"Nursing Students Learn Vaccination Using Kahoot! Gamification: An Intervention Study of Knowledge, Satisfaction, Interest, and Collaboration.",2025,Nursing research and practice,10.1155/nrp/3518943,include,True,nursing student,gamification,L1; L2,infection control/wound care,long(>1mo),digital(app/web),lecture,,,"Vaccination knowledge and satisfaction (also interest, collaboration)",True,NONE,Intervention study with students randomly divided into Kahoot! gamification versus traditional teaching for vaccination education.
HosseinMP202540410793,The effects of e-learning vs. gamification-based training on ICU nurses' knowledge and attitudes toward organ donation candidates: a study based on the psychological security and empowerment model.,2025,BMC medical education,10.1186/s12909-025-07299-0,include,True,clinical nurse,gamification,L2,critical care/CPR/medication safety,short(1wk-1mo),digital(app/web),ordinary/self-study,15,15,Knowledge and attitudes toward organ donation candidates,False,NONE,Randomized three-arm trial comparing gamification training vs e-learning vs control on ICU nurses' knowledge and attitudes.
AntikchiM202540269906,The effect of game-based scenario writing on the clinical reasoning of internship nursing students in cardiovascular emergencies and critical care units.,2025,BMC medical education,10.1186/s12909-025-07079-w,include,True,nursing intern/trainee,GBL,L1; L2,critical care/CPR/medication safety,long(>1mo),unclear,ordinary/self-study,41,41,Clinical reasoning score,True,NONE,Unblinded parallel RCT of game-based scenario writing vs routine training on internship nursing students' clinical reasoning.
DemiRcanB202540179528,The effect of using digital games on learning satisfaction and self-confidence in providing nursing students with subcutaneous injection skills: A randomized controlled trial.,2025,Nurse education in practice,10.1016/j.nepr.2025.104341,include,True,nursing student,GBL,L1; L2,other basic nursing,unclear,digital(app/web),ordinary/self-study,36,36,"Subcutaneous injection skill, satisfaction and self-confidence",False,NONE,"Pre-test post-test RCT of digital games vs control on nursing students' subcutaneous injection knowledge, skills, satisfaction and confidence."
zkanatS202540168749,The impact of escape room game and role-playing on nursing students' violence against women assessment skills and attitudes toward violence against women: A randomised controlled trial.,2025,Nurse education in practice,10.1016/j.nepr.2025.104346,include,True,nursing student,GBL,L2,communication/mental health,short(1wk-1mo),board/card/physical,ordinary/self-study,40,40,"Knowledge, attitudes and assessment skills on violence against women",False,NONE,"Factorial RCT with escape room game, role-playing, and control arms on nursing students' violence-against-women knowledge and skills."
DurmazEdeerA202539964287,The Effect of Game-Based Technology on Undergraduate Nursing Students' Knowledge and Motivation: Mixed-Methods Study.,2025,"Computers, informatics, nursing : CIN",10.1097/CIN.0000000000001251,include,True,nursing student,GBL,L1; L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),lecture,,,First-aid knowledge and motivation,False,NONE,Mixed-methods study whose quantitative arm is a randomized controlled trial of game-based technology vs control on nursing students' knowledge and motivation.
GokalpMG202539612768,The effect of game-based learning on the acquisition of intramuscular injection skills.,2025,Nurse education in practice,10.1016/j.nepr.2024.104172,include,True,nursing student,GBL,L1; L2,other basic nursing,unclear,unclear,ordinary/self-study,,,Intramuscular injection skill (implementation checklist),False,NONE,Pretest-posttest RCT of game-based learning on nursing students' intramuscular injection skills vs traditional methods.
AktaN202439276651,The effect of education provided with the escape room game on nursing students' learning of parenteral drug administration.,2024,Nurse education in practice,10.1016/j.nepr.2024.104133,include,True,nursing student,GBL,L2,critical care/CPR/medication safety,single(<=1day),board/card/physical,ordinary/self-study,36,36,Parenteral drug administration knowledge and skill (OSCE),False,NONE,RCT of escape room game vs free lab work (control) on nursing students' parenteral drug administration knowledge and skills.
GhafouriR202439215281,"Comparison of education using the flipped class, gamification and gamification in the flipped learning environment on the performance of nursing students in a client health assessment: a randomized clinical trial.",2024,BMC medical education,10.1186/s12909-024-05966-2,include,True,nursing student,gamification,L1; L2,other basic nursing,unclear,digital(app/web),lecture,,,"Performance in client health assessment, satisfaction and self-efficacy",False,NONE,"Parallel RCT with a usual-lecture control arm comparing gamification, flipped class, and combination on nursing students' performance."
OthmanSY202439116661,"Effect of using gamification and augmented reality in mechanical ventilation unit of critical care nursing on nurse students' knowledge, motivation, and self-efficacy: A randomized controlled trial.",2024,Nurse education today,10.1016/j.nedt.2024.106329,include,True,nursing student,gamification,L1; L2,critical care/CPR/medication safety,unclear,digital(app/web),lecture,205,205,"Knowledge, motivation, self-efficacy and satisfaction in mechanical ventilation",False,NONE,"RCT of combined gamification and AR vs traditional lecture on nursing students' mechanical ventilation knowledge, motivation, self-efficacy."
KimK202438908354,Effects of gamification in advanced life support training for clinical nurses: A cluster randomized controlled trial.,2024,Nurse education today,10.1016/j.nedt.2024.106263,include,True,clinical nurse,gamification,L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),ordinary/self-study,139,148,"Post-training ALS knowledge (algorithm, teamwork, rhythms)",False,NONE,Cluster RCT of gamified (Kahoot) vs conventional advanced life support training for clinical nurses with knowledge outcomes.
CheungYTD202438851019,Effect of narrative videos and mini-VR games in nursing smoking cessation training on empathy and self-efficacy of smoking cessation counseling: A randomized controlled trial.,2024,Nurse education today,10.1016/j.nedt.2024.106272,include,True,nursing student,serious game,L1; L2,communication/mental health,unclear,digital(app/web),case discussion,13,13,State empathy and self-efficacy in smoking cessation counseling,True,NONE,Open-label RCT of narrative videos plus mini-VR games vs tutorial-only control on nursing students' empathy and self-efficacy.
NasirzadeA202438840136,Comparison of the effects of burn assessment mission game with feedback lecture on nursing students' knowledge and skills in the burn patients' assessment: a randomized clinical trial.,2024,BMC medical informatics and decision making,10.1186/s12911-024-02558-4,include,True,nursing student,serious game,L2,critical care/CPR/medication safety,short(1wk-1mo),digital(app/web),lecture,21,21,Burn patient assessment knowledge and skill (OSCE),True,NONE,RCT comparing a serious game (BAM) vs feedback lecture on nursing students' burn assessment knowledge and skills.
TangHJ202438788632,A game-based multimedia application to improve the ability of clinical nurses to perform geriatric care: A randomized controlled trial.,2024,Nurse education today,10.1016/j.nedt.2024.106253,include,True,clinical nurse,gamification,L2,long-term care,unclear,digital(app/web),lecture,,,Confidence in geriatric care ability,False,NONE,RCT of a game-based CGA app vs traditional classroom learning on clinical nurses' confidence in geriatric care.
RazaghpoorA202438443211,The effect of serious game and problem-based learning on nursing students' knowledge and clinical decision-making skill regarding the application of transfusion medicine in pediatric nursing.,2024,Journal of pediatric nursing,10.1016/j.pedn.2024.01.010,include,False,nursing student,serious game,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,,,Knowledge and clinical decision-making in transfusion medicine,False,NONE,"Quasi-experimental study with block randomization comparing serious game, PBL, and control on nursing students' knowledge and decision-making; randomization present, full text needed."
OrduY202337769493,The effect of virtual game simulation on students' perception of nursing diagnosis and clinical practice: Post-test only randomized controlled trial.,2023,Nurse education in practice,10.1016/j.nepr.2023.103792,include,False,nursing student,serious game,L1,other basic nursing,single(<=1day),digital(app/web),ordinary/self-study,46,46,Perception of nursing diagnosis and clinical practice,False,NONE,Post-test only RCT of virtual game simulation vs control on nursing students' perception of nursing diagnosis and clinical practice.
HsuMH202437699207,Personalized Medical Terminology Learning Game: Guess the Term.,2024,Games for health journal,10.1089/g4h.2023.0054,include,False,nursing student,gamification,L2,other basic nursing,long(>1mo),digital(app/web),ordinary/self-study,24,24,Medical terminology knowledge (pre/post test),False,NONE,Experimental study randomly assigning nursing students to a gamified chatbot (Wordbot) vs self-study on medical terminology learning.
AlczarArteroPM202437666723,Teaching cardiopulmonary resuscitation using virtual reality: A randomized study.,2024,Australasian emergency care,10.1016/j.auec.2023.08.002,include,False,mixed/unclear,serious game,L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),lecture,,,Quality of chest compressions (CPR),True,NONE,Comparative study of serious-game VR CPR training vs conventional classroom teaching with quantitative chest-compression outcomes; design wording ambiguous on randomization.
OrduY202336871387,"The effects of virtual gaming simulation on nursing students' diagnosis, goal setting, and diagnosis prioritization: A randomized controlled trial.",2023,Nurse education in practice,10.1016/j.nepr.2023.103593,include,True,nursing student,serious game,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,51,51,"Nursing diagnosis, goal setting and diagnosis prioritization",False,NONE,"RCT of virtual gaming simulation vs classroom didactic on first-year nursing students' diagnosis, goal setting and prioritization."
TangY202336413059,Effectiveness of a Game-Based Mobile Application in Educating Nursing Students on Venous Blood Specimen Collection: A Randomized Controlled Trial.,2023,Games for health journal,10.1089/g4h.2022.0085,include,True,nursing student,GBL,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,52,53,Venous blood specimen collection skill performance,False,NONE,Single-blind RCT of game-based mobile app vs traditional methods on nursing students' venous blood specimen collection skill.
ElzekyMEH202236384544,Effect of gamified flipped classroom on improving nursing students' skills competency and learning motivation: a randomized controlled trial.,2022,BMC nursing,10.1186/s12912-022-01096-6,include,True,nursing student,gamification,L1; L2,other basic nursing,long(>1mo),digital(app/web),ordinary/self-study,64,64,"Skills knowledge, self-confidence and motivation",False,NONE,RCT comparing gamified flipped classroom vs traditional flipped classroom on nursing students' skills competency and motivation.
AlMugheedK202236327261,"Effectiveness of game-based virtual reality phone application and online education on knowledge, attitude and compliance of standard precautions among nursing students.",2022,PloS one,10.1371/journal.pone.0275130,include,False,nursing student,serious game,L2,infection control/wound care,short(1wk-1mo),digital(app/web),ordinary/self-study,,,"Knowledge, attitude and compliance with standard precautions",False,NONE,"Experimental study randomly assigning nursing students to game-based VR phone app plus online education vs traditional education on standard precautions; randomization stated, full text needed."
ChangYS202235926260,Effects of board game play on nursing students' medication knowledge: A randomized controlled trial.,2022,Nurse education in practice,10.1016/j.nepr.2022.103412,include,True,nursing student,GBL,L2,critical care/CPR/medication safety,single(<=1day),board/card/physical,lecture,35,34,Medication knowledge (immediate and 1-month retention),False,NONE,RCT of educational board game vs didactic lecture for nursing students' medication knowledge.
InangilD202235266898,Effectiveness of the Use of Animation and Gamification in Online Distance Education During Pandemic.,2022,"Computers, informatics, nursing : CIN",10.1097/CIN.0000000000000902,include,True,nursing student,gamification,L1; L2,other basic nursing,unclear,digital(app/web),ordinary/self-study,,,Diabetes nursing knowledge and motivation,False,NONE,Randomized controlled trial of animation+gamification vs control for diabetes nursing knowledge/motivation.
SarvanS202235158135,"The effect of neonatal resuscitation training based on a serious game simulation method on nursing students' knowledge, skills, satisfaction and self-confidence levels: A randomized controlled trial.",2022,Nurse education today,10.1016/j.nedt.2022.105298,include,True,nursing student,serious game,L1; L2,critical care/CPR/medication safety,unclear,digital(app/web),ordinary/self-study,45,45,"Neonatal resuscitation skills (ventilation, chest compression), knowledge, satisfaction, self-confidence",False,NONE,Single-blind RCT of serious game simulation vs control for neonatal resuscitation knowledge/skills.
CalikA202234986013,The Effect of Serious Games for Nursing Students in Clinical Decision-Making Process: A Pilot Randomized Controlled Trial.,2022,Games for health journal,10.1089/g4h.2021.0180,include,True,nursing student,serious game,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,30,30,Self-confidence and anxiety in clinical decision-making,False,NONE,Pilot RCT of serious game vs control for nursing students' self-confidence and anxiety in clinical decision-making.
GuR202234864483,Effectiveness of a game-based mobile application in educating nursing students on flushing and locking venous catheters with pre-filled saline syringes: A randomized controlled trial.,2022,Nurse education in practice,10.1016/j.nepr.2021.103260,include,True,nursing student,GBL,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,77,77,Skill performance in flushing/locking venous catheters,False,NONE,Single-blind RCT of game-based mobile app vs no additional intervention for venous catheter flushing skills.
MolinaTorresG202234799191,"The impact of using an ""anatomy escape room"" on nursing students: A comparative study.",2022,Nurse education today,10.1016/j.nedt.2021.105205,include,False,nursing student,serious game,L1; L2,other basic nursing,single(<=1day),board/card/physical,lecture,128,120,Anatomy knowledge retention and satisfaction,False,NONE,On-topic escape room vs traditional teaching for anatomy knowledge in nursing students; abstract says randomly assigned though design called comparative cross-sectional.
LiuYM202134315062,"Effect of multi-disciplinary teaching on learning satisfaction, self-confidence level and learning performance in the nursing students.",2021,Nurse education in practice,10.1016/j.nepr.2021.103128,include,True,nursing student,GBL,L1; L2,other basic nursing,long(>1mo),unclear,lecture,48,50,"Learning satisfaction, self-confidence, learning performance",False,NONE,Randomized experimental pretest-posttest study of game-based + clinical situation teaching vs traditional teaching for nursing students.
MaD202133962185,Does theme game-based teaching promote better learning about disaster nursing than scenario simulation: A randomized controlled trial.,2021,Nurse education today,10.1016/j.nedt.2021.104923,include,True,nursing student,GBL,L2,critical care/CPR/medication safety,unclear,unclear,case discussion,51,53,Disaster nursing competence,True,NONE,RCT of theme game-based teaching vs scenario simulation for disaster nursing competence.
GrechJ202133675289,Nursing students' evaluation of a gamified public health educational webinar: A comparative pilot study.,2021,Nursing open,10.1002/nop2.826,include,False,nursing student,gamification,L1,other basic nursing,single(<=1day),digital(app/web),lecture,,,Students' evaluation of educational quality,False,NONE,On-topic comparison of gamified vs non-gamified webinar for nursing students with random allocation; pilot post-test design needs full text to confirm RCT.
BlaniA202032075641,Comparative value of a simulation by gaming and a traditional teaching method to improve clinical reasoning skills necessary to detect patient deterioration: a randomized study in nursing students.,2020,BMC medical education,10.1186/s12909-020-1939-6,include,True,nursing student,serious game,L1; L2,critical care/CPR/medication safety,single(<=1day),digital(app/web),lecture,73,73,Clinical reasoning (script concordance test scores),True,NONE,Multicenter RCT of simulation-by-gaming vs traditional teaching for clinical reasoning in nursing students.
BayramSB201931102793,Effect of a game-based virtual reality phone application on tracheostomy care education for nursing students: A randomized controlled trial.,2019,Nurse education today,10.1016/j.nedt.2019.05.010,include,True,nursing student,serious game,L2,other basic nursing,short(1wk-1mo),digital(app/web),ordinary/self-study,43,43,Tracheostomy care knowledge test and skill scores,False,NONE,Single-blind RCT of game-based VR phone app vs control for tracheostomy care knowledge/skills in nursing students.
DelBlanco201728521249,Using a videogame to facilitate nursing and medical students' first visit to the operating theatre. A randomized controlled trial.,2017,Nurse education today,10.1016/j.nedt.2017.04.026,include,True,mixed/unclear,serious game,L1,other basic nursing,single(<=1day),digital(app/web),ordinary/self-study,70,62,Self-reported feelings/attitudes about operating theatre experience,False,NONE,RCT of a videogame vs no app for nursing and medical students before first operating theatre visit.
TanAJQ201728521248,Designing and evaluating the effectiveness of a serious game for safe administration of blood transfusion: A randomized controlled trial.,2017,Nurse education today,10.1016/j.nedt.2017.04.027,include,True,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,digital(app/web),ordinary/self-study,,,"Knowledge, confidence and performance in blood transfusion",False,NONE,Clustered RCT of a serious game vs control for blood transfusion knowledge/confidence/performance in nursing students.
BoadaI201526319184,Using a serious game to complement CPR instruction in a nurse faculty.,2015,Computer methods and programs in biomedicine,10.1016/j.cmpb.2015.08.006,include,True,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,digital(app/web),ordinary/self-study,,,CPR learning acquisition scores,False,NONE,RCT comparing serious game (LISSA) plus self-directed learning vs traditional CPR teaching in nursing students.
IngramC19989749809,Evaluation of an educational game for health sciences students.,1998,The Journal of nursing education,10.3928/0148-4834-19980901-04,include,True,nursing student,GBL,L2,other basic nursing,long(>1mo),board/card/physical,case discussion,,,Accuracy of hypotheses/issues generated in PBL,False,NONE,RCT (with crossover) of educational game vs conventional method for hypothesis/issue generation in nursing students.
KellyS19958696789,Trivia-psychotica: the development and evaluation of an educational game for the revision of psychiatric disorders in a nurse training programme.,1995,Journal of psychiatric and mental health nursing,10.1111/j.1365-2850.1995.tb00108.x,include,False,nursing student,GBL,L2,communication/mental health,unclear,unclear,unclear,,,Revision of psychiatric disorders (unclear),False,NONE,On-topic educational game for psychiatric disorder revision in nurse training; no abstract available so randomization cannot be confirmed.
AslanR20267,"Peer education, role-play simulation, and virtual escape room: Comparing effects on therapeutic interaction skills in nursing students: A randomized controlled trial",2026,Clinical Simulation in Nursing,10.1016/j.ecns.2026.101973,include,True,nursing student,serious game,L2,communication/mental health,unclear,digital(app/web),case discussion,,,Therapeutic interaction skills,False,NONE,"RCT comparing peer education, role-play simulation, and virtual escape room for therapeutic interaction skills in nursing students; no abstract but title confirms RCT and a non-game comparator arm exists."
BakhshiF202614,Fostering role clarity and team coordination in cardiopulmonary resuscitation among nursing students using an educational escape room: A randomized controlled trial,2026,Clinical Simulation in Nursing,10.1016/j.ecns.2026.101932,include,True,nursing student,serious game,L2,critical care/CPR/medication safety,unclear,board/card/physical,unclear,,,Role clarity and team coordination in CPR,False,NONE,RCT of educational escape room for role clarity and team coordination in CPR among nursing students; no abstract but title confirms RCT.
SantanoMogenaE202615,Escape room and high-fidelity clinical simulation in neonatal nursing education: A randomized clinical trial,2026,Clinical Simulation in Nursing,10.1016/j.ecns.2026.101938,include,True,nursing student,GBL,L2,other basic nursing,unclear,board/card/physical,unclear,,,Knowledge/skill in neonatal nursing,False,NONE,Escape room (game-based) vs high-fidelity simulation in neonatal nursing education described as a randomized clinical trial.
WangYF202623,MEDILEGACY: A gamified platform for enhancing medical terminology learning through engagement and retention,2026,Health Education Journal,10.1177/00178969251389388,include,False,mixed/unclear,gamification,L2,other basic nursing,unclear,digital(app/web),unclear,,,Medical terminology knowledge and retention,False,NONE,Gamified platform for medical terminology learning in nursing/health education; on-topic but randomization not confirmed from title alone.
MoonchaiK202635,Gamified learning enhances psychiatric symptom knowledge in nursing students,2026,Teaching and Learning in Nursing,10.1016/j.teln.2025.07.028,include,False,nursing student,gamification,L2,communication/mental health,unclear,unclear,unclear,,,Psychiatric symptom knowledge,False,NONE,Gamified learning to enhance psychiatric symptom knowledge in nursing students; on-topic but randomization not confirmed from title.
WulanDR202636,A randomized controlled trial of an escape laboratory challenge through gamified learning to improve cardiopulmonary resuscitation performance among nursing students,2026,Journal of Holistic Nursing Science,10.31603/jhns.v13i1.15182,include,True,nursing student,GBL,L2,critical care/CPR/medication safety,unclear,board/card/physical,unclear,,,Cardiopulmonary resuscitation performance,False,NONE,RCT of escape-lab gamified learning to improve CPR performance in nursing students.
CoelhoF202639,"Playing solo, against rivals, or in a team? Exploring individual, competitive, and cooperative dynamics in gamified digital education",2026,Entertainment Computing,10.1016/j.entcom.2025.101065,include,False,mixed/unclear,gamification,L1,unclear,unclear,digital(app/web),unclear,,,Engagement and learning dynamics,False,NONE,Gamified digital education comparing solo/competitive/cooperative dynamics; on-topic but population and randomization unconfirmed from title.
