record_id,entry_type,authors,year,title,journal,abstract,doi,pmid,keywords,decision_r1,decision_r2,final_decision,exclusion_reason,notes
NoguchiE202439174547,article,"Noguchi, E and Yamanaka, T and Mukai, H and Yamamoto, N and Chung, CF and Lu, YS and Chang, DY and Sohn, J and Kim, GM and Lee, KH and Lee, SC and Iwasa, T and Iwata, H and Watanabe, K and Jung, KH and Tanabe, Y and Kang, SY and Yasojima, H and Aogi, K and Tokunaga, E and Sim, SH and Yap, YS and Matsumoto, K and Tseng, LM and Umeyama, Y and Sudo, K and Kojima, Y and Hata, T and Kuchiba, A and Shibata, T and Nakamura, K and Fujiwara, Y and Tamura, K and Yonemori, K",2024,A phase 3 study (PATHWAY) of palbociclib plus tamoxifen in patients with HR-positive/HER2-negative advanced breast cancer.,NPJ breast cancer,,10.1038/s41523-024-00684-w,39174547,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
RauthanA202439095679,article,"Rauthan, A and Jain, A and Singh, M and Sendur, MAN",2024,"Palbociclib in HR-Positive, HER2-Negative Advanced/Metastatic Breast Cancer: A Systematic Scoping Review of Real-World Evidence from Countries Outside of Western Regions that Are Underrepresented in Clinical Trials.",Oncology and therapy,,10.1007/s40487-024-00295-2,39095679,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
YamamotoM202538965074,article,"Yamamoto, M and Shibata, M and Tanaka, A and Tsunoda, N and Masuda, N",2025,Identification of peripheral blood test parameters predicting the response to palbociclib and endocrine therapy for metastatic breast cancer: a retrospective study in a single institution.,Surgery today,,10.1007/s00595-024-02893-z,38965074,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
GoetzMP202438729566,article,"Goetz, MP and Toi, M and Huober, J and Sohn, J and Trédan, O and Park, IH and Campone, M and Chen, SC and Manso, LM and Paluch-Shimon, S and Freedman, OC and O'Shaughnessy, J and Pivot, X and Tolaney, SM and Hurvitz, SA and Llombart-Cussac, A and André, V and Saha, A and van Hal, G and Shahir, A and Iwata, H and Johnston, SRD",2024,"Abemaciclib plus a nonsteroidal aromatase inhibitor as initial therapy for HR+, HER2- advanced breast cancer: final overall survival results of MONARCH 3.",Annals of oncology : official journal of the European Society for Medical Oncology,,10.1016/j.annonc.2024.04.013,38729566,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
FisteO202438497887,article,"Fiste, O and Trika, C and Syrigos, NK and Kotteas, EA",2024,A rare case of Takotsubo cardiomyopathy.,European review for medical and pharmacological sciences,,10.26355/eurrev_202403_35619,38497887,,E,,,I1,No CDK4/6 inhibitor mentioned
YildirimHC202538497444,article,"Yildirim, HC and Kapar, C and Koksal, B and Seyyar, M and Sanci, PC and Guliyev, M and Perkin, P and Buyukkor, M and Yaslikaya, S and Majidova, N and Keskinkilic, M and Ozaskin, D and Avci, T and Gunes, TK and Arcagok, M and Topal, A and Keskin, GSY and Kavgaci, G and Yildirim, N and Celayir, OM and Avci, N and Aslan, F and Alkan, A and Erciyestepe, M and Cengiz, M and Pehlivan, M and Gulmez, A and Beypinar, I and Basoglu Tuylu, T and Kayikcioglu, E and Chalabiyev, E and Turhal, S and Guzel, HG and Ayas, E and Sahbazlar, M and Dulgar, O and Demir, H and Yavuzsen, T and Bayoglu, V and Kivrak Salim, D and Ozturk, B and Ozdemir, F and Kara, O and Oksuzoglu, B and Bal, O and Demirci, NS and Yilmaz, M and Cabuk, D and Aksoy, S",2025,Efficacy of first-line CDK 4-6 inhibitors in premenopausal patients with metastatic breast cancer and the effect of dose reduction due to treatment-related neutropenia on efficacy: a Turkish Oncology Group (TOG) study.,"Journal of chemotherapy (Florence, Italy)",,10.1080/1120009X.2024.2330835,38497444,,E,,,I1,No CDK4/6 inhibitor mentioned
DeckerT202438384487,article,"Decker, T and Zaiss, M and Klein, D and Hahn, A and Hagen, V and La Rosée, P and Liersch, R and Wolff, T and Niemeier, B and Hillebrand, LE and Lennartz, C and Chiabudini, M and Bengsch, F and Indorf, M and Marschner, N",2024,"Final Results from RIBBIT: A Randomized Phase III Study to Evaluate Efficacy and Quality of Life in Patients with Metastatic Hormone Receptor-Positive, HER2-Negative Breast Cancer Receiving Ribociclib in Combination with Endocrine Therapy or Chemotherapy with or without Bevacizumab in the First-Line Setting.","Breast care (Basel, Switzerland)",,10.1159/000535135,38384487,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
KappelC202438326452,article,"Kappel, C and Elliott, MJ and Kumar, V and Nadler, MB and Desnoyers, A and Amir, E",2024,Comparative overall survival of CDK4/6 inhibitors in combination with endocrine therapy in advanced breast cancer.,Scientific reports,,10.1038/s41598-024-53151-8,38326452,,E,,,D2,Preclinical/animal study (keyword: rat)
ShaoH202438212842,article,"Shao, H and Zhao, M and Guan, AJ and Shao, T and Zhou, D and Yu, G and Tang, W",2024,"A network meta-analysis of efficacy and safety for first-line and second/further-line therapies in postmenopausal women with hormone receptor-positive, HER2-negative, advanced breast cancer.",BMC medicine,,10.1186/s12916-023-03238-2,38212842,,E,,,D1,Review/meta-analysis (keyword: meta-analysis)
HoraniM202337860199,article,"Horani, M and Abdel-Razeq, H",2023,"Treatment options for patients with hormone receptor-positive, HER2-negative advanced-stage breast cancer: maintaining cyclin-dependent kinase 4/6 inhibitors beyond progression.",Frontiers in oncology,,10.3389/fonc.2023.1272602,37860199,,I,,,,Key trial: MAINTAIN
MasudaJ202337709297,article,"Masuda, J and Sakai, H and Tsurutani, J and Tanabe, Y and Masuda, N and Iwasa, T and Takahashi, M and Futamura, M and Matsumoto, K and Aogi, K and Iwata, H and Hosonaga, M and Mukohara, T and Yoshimura, K and Imamura, CK and Miura, S and Yamochi, T and Kawabata, H and Yasojima, H and Tomioka, N and Yoshimura, K and Takano, T",2023,"Efficacy, safety, and biomarker analysis of nivolumab in combination with abemaciclib plus endocrine therapy in patients with HR-positive HER2-negative metastatic breast cancer: a phase II study (WJOG11418B NEWFLAME trial).",Journal for immunotherapy of cancer,,10.1136/jitc-2023-007126,37709297,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
DeckerT202337690320,article,"Decker, T and Lüdtke-Heckenkamp, K and Melnichuk, L and Hirmas, N and Lübbe, K and Zahn, MO and Schmidt, M and Denkert, C and Lorenz, R and Müller, V and Zahm, DM and Mundhenke, C and Bauer, S and Thill, M and Seropian, P and Filmann, N and Loibl, S",2023,Anti-hormonal maintenance treatment with the CDK4/6 inhibitor ribociclib after 1st line chemotherapy in hormone receptor positive / HER2 negative metastatic breast cancer: A phase II trial (AMICA).,"Breast (Edinburgh, Scotland)",,10.1016/j.breast.2023.08.007,37690320,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
JiD202337644396,article,"Ji, D and Luo, Y and Wang, J and Chen, S and Lan, B and Ma, F and Xu, B and Fan, Y",2023,"CDK4/6 inhibitors, PI3K/mTOR inhibitors, and HDAC inhibitors as second-line treatments for hormone receptor-positive, HER2-negative advanced breast cancer: a network meta-analysis.",BMC cancer,,10.1186/s12885-023-11290-7,37644396,,E,,,D1,Review/meta-analysis (keyword: meta-analysis)
MironAI202337296790,article,"Miron, AI and Anghel, AV and Barnonschi, AA and Mitre, R and Liscu, HD and Găinariu, E and Pătru, R and Coniac, S",2023,Real-World Outcomes of CDK4/6 Inhibitors Treatment in Metastatic Breast Cancer in Romania.,"Diagnostics (Basel, Switzerland)",,10.3390/diagnostics13111938,37296790,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
DiCosimoS202336239405,article,"Di Cosimo, S and Pérez-García, JM and Bellet, M and Dalenc, F and Gil Gil, MJ and Ruiz Borrego, M and Gavilá, J and Sampayo-Cordero, M and Aguirre, E and Schmid, P and Marmé, F and Gligorov, J and Schneeweiss, A and Albanell, J and Zamora, P and Wheatley, D and Martínez-De Dueñas, E and Carañana, V and Amillano, K and Mina, L and Malfettone, A and Cortés, J and Llombart-Cussac, A",2023,Palbociclib with Fulvestrant or Letrozole in Endocrine-Sensitive Patients with HR-Positive/HER2-Negative Advanced Breast Cancer: A Detailed Safety Analysis of the Randomized PARSIFAL Trial.,The oncologist,,10.1093/oncolo/oyac205,36239405,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
HowellSJ202235671774,article,"Howell, SJ and Casbard, A and Carucci, M and Ingarfield, K and Butler, R and Morgan, S and Meissner, M and Bale, C and Bezecny, P and Moon, S and Twelves, C and Venkitaraman, R and Waters, S and de Bruin, EC and Schiavon, G and Foxley, A and Jones, RH",2022,"Fulvestrant plus capivasertib versus placebo after relapse or progression on an aromatase inhibitor in metastatic, oestrogen receptor-positive, HER2-negative breast cancer (FAKTION): overall survival, updated progression-free survival, and expanded biomarker analysis from a randomised, phase 2 trial.",The Lancet. Oncology,,10.1016/S1470-2045(22)00284-4,35671774,,E,,,I1,No CDK4/6 inhibitor mentioned
LindemanGJ202235583555,article,"Lindeman, GJ and Fernando, TM and Bowen, R and Jerzak, KJ and Song, X and Decker, T and Boyle, F and McCune, S and Armstrong, A and Shannon, C and Bertelli, G and Chang, CW and Desai, R and Gupta, K and Wilson, TR and Flechais, A and Bardia, A",2022,"VERONICA: Randomized Phase II Study of Fulvestrant and Venetoclax in ER-Positive Metastatic Breast Cancer Post-CDK4/6 Inhibitors - Efficacy, Safety, and Biomarker Results.",Clinical cancer research : an official journal of the American Association for Cancer Research,,10.1158/1078-0432.CCR-21-3811,35583555,,U,,,,"Post-CDK4/6 progression mentioned, HR/HER2 status unclear"
AbdelRazeqH202235321498,article,"Abdel-Razeq, H and Sharaf, B",2022,"Expanding the Clinical Use of CDK4/6 Inhibitors in the Treatment of Hormone Receptor-Positive, HER2-Negative Breast Cancer from Metastatic Setting to Adjuvant Setting.","Drug design, development and therapy",,10.2147/DDDT.S356757,35321498,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
BardiaA202235309087,article,"Bardia, A and Cortes, J and Hurvitz, SA and Delaloge, S and Iwata, H and Shao, ZM and Kanagavel, D and Cohen, P and Liu, Q and Cartot-Cotton, S and Pelekanou, V and O'Shaughnessy, J",2022,"AMEERA-5: a randomized, double-blind phase 3 study of amcenestrant plus palbociclib <i>versus</i> letrozole plus palbociclib for previously untreated ER+/HER2- advanced breast cancer.",Therapeutic advances in medical oncology,,10.1177/17588359221083956,35309087,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
HortobagyiGN202235263519,article,"Hortobagyi, GN and Stemmer, SM and Burris, HA and Yap, YS and Sonke, GS and Hart, L and Campone, M and Petrakova, K and Winer, EP and Janni, W and Conte, P and Cameron, DA and André, F and Arteaga, CL and Zarate, JP and Chakravartty, A and Taran, T and Le Gac, F and Serra, P and O'Shaughnessy, J",2022,Overall Survival with Ribociclib plus Letrozole in Advanced Breast Cancer.,The New England journal of medicine,,10.1056/NEJMoa2114663,35263519,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
LuYS202234965945,article,"Lu, YS and Im, SA and Colleoni, M and Franke, F and Bardia, A and Cardoso, F and Harbeck, N and Hurvitz, S and Chow, L and Sohn, J and Lee, KS and Campos-Gomez, S and Villanueva Vazquez, R and Jung, KH and Babu, KG and Wheatley-Price, P and De Laurentiis, M and Im, YH and Kuemmel, S and El-Saghir, N and O'Regan, R and Gasch, C and Solovieff, N and Wang, C and Wang, Y and Chakravartty, A and Ji, Y and Tripathy, D",2022,Updated Overall Survival of Ribociclib plus Endocrine Therapy versus Endocrine Therapy Alone in Pre- and Perimenopausal Patients with HR+/HER2- Advanced Breast Cancer in MONALEESA-7: A Phase III Randomized Clinical Trial.,Clinical cancer research : an official journal of the American Association for Cancer Research,,10.1158/1078-0432.CCR-21-3032,34965945,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
AlbanellJ202234902765,article,"Albanell, J and Martínez, MT and Ramos, M and O'Connor, M and de la Cruz-Merino, L and Santaballa, A and Martínez-Jañez, N and Moreno, F and Fernández, I and Alarcón, J and Virizuela, JA and de la Haba-Rodríguez, J and Sánchez-Rovira, P and González-Cortijo, L and Margelí, M and Sánchez-Muñoz, A and Antón, A and Casas, M and Bezares, S and Rojo, F",2022,"Randomized phase II study of fulvestrant plus palbociclib or placebo in endocrine-sensitive, hormone receptor-positive/HER2-advanced breast cancer: GEICAM/2014-12 (FLIPPER).","European journal of cancer (Oxford, England : 1990)",,10.1016/j.ejca.2021.11.010,34902765,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
JeongE202134026637,article,"Jeong, E and Wang, C and Wilson, L and Zhong, L",2021,"Cost-Effectiveness of Adding Ribociclib to Endocrine Therapy for Patients With HR-Positive, HER2-Negative Advanced Breast Cancer Among Premenopausal or Perimenopausal Women.",Frontiers in oncology,,10.3389/fonc.2021.658054,34026637,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
unknown202133902203,article,,2021,"[Consensus recommendations for the clinical application of CDK4/6 inhibitors in patients with hormone receptor positive, human epidermal growth factor receptor 2 negative advanced breast cancer].",Zhonghua zhong liu za zhi [Chinese journal of oncology],,10.3760/cma.j.cn112152-20210113-00045,33902203,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
GalardiF202133761970,article,"Galardi, F and De Luca, F and Biagioni, C and Migliaccio, I and Curigliano, G and Minisini, AM and Bonechi, M and Moretti, E and Risi, E and McCartney, A and Benelli, M and Romagnoli, D and Cappadona, S and Gabellini, S and Guarducci, C and Conti, V and Biganzoli, L and Di Leo, A and Malorni, L",2021,"Circulating tumor cells and palbociclib treatment in patients with ER-positive, HER2-negative advanced breast cancer: results from a translational sub-study of the TREnd trial.",Breast cancer research : BCR,,10.1186/s13058-021-01415-w,33761970,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
YangJ202033364838,article,"Yang, J and Han, J and Tian, M and Tian, K and Liao, W and Yan, X",2020,Cost-Effectiveness of Ribociclib for Hormone Receptor-Positive HER2-Negative Advanced Breast Cancer.,Cancer management and research,,10.2147/CMAR.S284556,33364838,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
ZhangQY202033149768,article,"Zhang, QY and Sun, T and Yin, YM and Li, HP and Yan, M and Tong, ZS and Oppermann, CP and Liu, YP and Costa, R and Li, M and Cheng, Y and Ouyang, QC and Chen, X and Liao, N and Wu, XH and Wang, XJ and Feng, JF and Hegg, R and Kanakasetty, GB and Coccia-Portugal, MA and Han, RB and Lu, Y and Chi, HD and Jiang, ZF and Hu, XC",2020,MONARCH plus: abemaciclib plus endocrine therapy in women with HR+/HER2- advanced breast cancer: the multinational randomized phase III study.,Therapeutic advances in medical oncology,,10.1177/1758835920963925,33149768,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
PiezzoM202032899139,article,"Piezzo, M and Chiodini, P and Riemma, M and Cocco, S and Caputo, R and Cianniello, D and Di Gioia, G and Di Lauro, V and Rella, FD and Fusco, G and Iodice, G and Nuzzo, F and Pacilio, C and Pensabene, M and De Laurentiis, M",2020,Progression-Free Survival and Overall Survival of CDK 4/6 Inhibitors Plus Endocrine Therapy in Metastatic Breast Cancer: A Systematic Review and Meta-Analysis.,International journal of molecular sciences,,10.3390/ijms21176400,32899139,,E,,,D1,Review/meta-analysis (keyword: systematic review)
XieN202032581595,article,"Xie, N and Qin, T and Ren, W and Yao, H and Yu, Y and Hong, H",2020,Efficacy and Safety of Cyclin-Dependent Kinases 4 and 6 Inhibitors in HR+/HER2- Advanced Breast Cancer.,Cancer management and research,,10.2147/CMAR.S254365,32581595,,E,,,I1,No CDK4/6 inhibitor mentioned
SledgeGW202031563959,article,"Sledge, GW and Toi, M and Neven, P and Sohn, J and Inoue, K and Pivot, X and Burdaeva, O and Okera, M and Masuda, N and Kaufman, PA and Koh, H and Grischke, EM and Conte, P and Lu, Y and Barriga, S and Hurt, K and Frenzel, M and Johnston, S and Llombart-Cussac, A",2020,"The Effect of Abemaciclib Plus Fulvestrant on Overall Survival in Hormone Receptor-Positive, ERBB2-Negative Breast Cancer That Progressed on Endocrine Therapy-MONARCH 2: A Randomized Clinical Trial.",JAMA oncology,,10.1001/jamaoncol.2019.4782,31563959,,U,,,,"Unclear eligibility from title/abstract, review full-text"
TripathyD201829804902,article,"Tripathy, D and Im, SA and Colleoni, M and Franke, F and Bardia, A and Harbeck, N and Hurvitz, SA and Chow, L and Sohn, J and Lee, KS and Campos-Gomez, S and Villanueva Vazquez, R and Jung, KH and Babu, KG and Wheatley-Price, P and De Laurentiis, M and Im, YH and Kuemmel, S and El-Saghir, N and Liu, MC and Carlson, G and Hughes, G and Diaz-Padilla, I and Germa, C and Hirawat, S and Lu, YS",2018,"Ribociclib plus endocrine therapy for premenopausal women with hormone-receptor-positive, advanced breast cancer (MONALEESA-7): a randomised phase 3 trial.",The Lancet. Oncology,,10.1016/S1470-2045(18)30292-4,29804902,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
DingW201829768351,article,"Ding, W and Li, Z and Wang, C and Ruan, G and Chen, L and Tu, C",2018,The CDK4/6 inhibitor in HR-positive advanced breast cancer: A systematic review and meta-analysis.,Medicine,,10.1097/MD.0000000000010746,29768351,,E,,,D1,Review/meta-analysis (keyword: systematic review)
AyyagariR201829609880,article,"Ayyagari, R and Tang, D and Patterson-Lomba, O and Zhou, Z and Xie, J and Chandiwana, D and Dalal, AA and Niravath, PA",2018,Progression-free Survival With First-line Endocrine-based Therapies Among Postmenopausal Women With HR+/HER2- Metastatic Breast Cancer:: A Network Meta-analysis.,Clinical therapeutics,,10.1016/j.clinthera.2018.03.004,29609880,,E,,,D1,Review/meta-analysis (keyword: meta-analysis)
ShahA201829437768,article,"Shah, A and Bloomquist, E and Tang, S and Fu, W and Bi, Y and Liu, Q and Yu, J and Zhao, P and Palmby, TR and Goldberg, KB and Chang, CJG and Patel, P and Alebachew, E and Tilley, A and Pierce, WF and Ibrahim, A and Blumenthal, GM and Sridhara, R and Beaver, JA and Pazdur, R",2018,"FDA Approval: Ribociclib for the Treatment of Postmenopausal Women with Hormone Receptor-Positive, HER2-Negative Advanced or Metastatic Breast Cancer.",Clinical cancer research : an official journal of the American Association for Cancer Research,,10.1158/1078-0432.CCR-17-2369,29437768,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
GoetzMP201728968163,article,"Goetz, MP and Toi, M and Campone, M and Sohn, J and Paluch-Shimon, S and Huober, J and Park, IH and Trédan, O and Chen, SC and Manso, L and Freedman, OC and Garnica Jaliffe, G and Forrester, T and Frenzel, M and Barriga, S and Smith, IC and Bourayou, N and Di Leo, A",2017,MONARCH 3: Abemaciclib As Initial Therapy for Advanced Breast Cancer.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,,10.1200/JCO.2017.75.6155,28968163,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
WilsonFR201728752187,article,"Wilson, FR and Varu, A and Mitra, D and Cameron, C and Iyer, S",2017,Systematic review and network meta-analysis comparing palbociclib with chemotherapy agents for the treatment of postmenopausal women with HR-positive and HER2-negative advanced/metastatic breast cancer.,Breast cancer research and treatment,,10.1007/s10549-017-4404-4,28752187,,E,,,D1,Review/meta-analysis (keyword: systematic review)
RoccaA201728203301,article,"Rocca, A and Schirone, A and Maltoni, R and Bravaccini, S and Cecconetto, L and Farolfi, A and Bronte, G and Andreis, D",2017,Progress with palbociclib in breast cancer: latest evidence and clinical considerations.,Therapeutic advances in medical oncology,,10.1177/1758834016677961,28203301,,E,,,D2,Preclinical/animal study (keyword: rat)
FinnRS201627959613,article,"Finn, RS and Martin, M and Rugo, HS and Jones, S and Im, SA and Gelmon, K and Harbeck, N and Lipatov, ON and Walshe, JM and Moulder, S and Gauthier, E and Lu, DR and Randolph, S and Diéras, V and Slamon, DJ",2016,Palbociclib and Letrozole in Advanced Breast Cancer.,The New England journal of medicine,,10.1056/NEJMoa1607303,27959613,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
HortobagyiGN201627717303,article,"Hortobagyi, GN and Stemmer, SM and Burris, HA and Yap, YS and Sonke, GS and Paluch-Shimon, S and Campone, M and Blackwell, KL and André, F and Winer, EP and Janni, W and Verma, S and Conte, P and Arteaga, CL and Cameron, DA and Petrakova, K and Hart, LL and Villanueva, C and Chan, A and Jakobsen, E and Nusch, A and Burdaeva, O and Grischke, EM and Alba, E and Wist, E and Marschner, N and Favret, AM and Yardley, D and Bachelot, T and Tseng, LM and Blau, S and Xuan, F and Souami, F and Miller, M and Germa, C and Hirawat, S and O'Shaughnessy, J",2016,"Ribociclib as First-Line Therapy for HR-Positive, Advanced Breast Cancer.",The New England journal of medicine,,10.1056/NEJMoa1609709,27717303,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
MartinelloR201627646965,article,"Martinello, R and Genta, S and Galizia, D and Geuna, E and Milani, A and Zucchini, G and Valabrega, G and Montemurro, F",2016,New and developing chemical pharmacotherapy for treating hormone receptor-positive/HER2-negative breast cancer.,Expert opinion on pharmacotherapy,,10.1080/14656566.2016.1236914,27646965,,E,,,I1,No CDK4/6 inhibitor mentioned
WalkerAJ201627407089,article,"Walker, AJ and Wedam, S and Amiri-Kordestani, L and Bloomquist, E and Tang, S and Sridhara, R and Chen, W and Palmby, TR and Fourie Zirkelbach, J and Fu, W and Liu, Q and Tilley, A and Kim, G and Kluetz, PG and McKee, AE and Pazdur, R",2016,"FDA Approval of Palbociclib in Combination with Fulvestrant for the Treatment of Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer.",Clinical cancer research : an official journal of the American Association for Cancer Research,,10.1158/1078-0432.CCR-16-0493,27407089,,E,,,P3,CDK4/6i mentioned but no progression/resistance (likely first-line)
