ID,Title,Authors,Year,Reviewer1_Decision,Reviewer1_Confidence,Reviewer1_Exclusion_Code,Reviewer2_Decision,Reviewer2_Confidence,Reviewer2_Exclusion_Code,Final_Decision,Conflict_Resolution
Gladkov2016,"Chemotherapy-associated treatment burden in breast cancer patients receiving lipegfilgrastim or pegfilgrastim: secondary efficacy data from a phase III study",Gladkov et al.,2016,exclude,0.70,D1,exclude,0.80,D1,exclude,
VonMinckwitz2008,"Pegfilgrastim +/- ciprofloxacin for primary prophylaxis with TAC chemotherapy for breast cancer: results from the GEPARTRIO study",von Minckwitz et al.,2008,exclude,0.75,C1,exclude,0.70,C1,exclude,
Citron2003,"Randomized trial of dose-dense versus conventionally scheduled and sequential versus concurrent combination chemotherapy as postoperative adjuvant treatment of node-positive primary breast cancer",Citron et al.,2003,exclude,0.80,I1,exclude,0.75,I1,exclude,
Weycker2013,"Risk and consequences of chemotherapy-induced febrile neutropenia in patients receiving daily filgrastim: a retrospective study",Weycker et al.,2013,exclude,0.95,S1,exclude,0.95,S1,exclude,
Hegg2016,"Pegfilgrastim primary prophylaxis against febrile neutropenia in breast cancer patients: a randomized phase II study",Hegg et al.,2016,include,0.70,,include,0.85,,include,
Bozzoli2015,"Prophylactic pegfilgrastim reduces the rate of febrile neutropenia and hospital admission in multiple myeloma patients treated with VTD: a phase II prospective randomized study",Bozzoli et al.,2015,include,0.85,,include,0.80,,include,
Lyman2002,"Prophylactic granulocyte colony-stimulating factor in patients receiving dose-intensive cancer chemotherapy: a meta-analysis",Lyman et al.,2002,exclude,0.95,S1,exclude,0.95,S1,exclude,
Kuderer2007,"Impact of primary prophylaxis with granulocyte colony-stimulating factor on febrile neutropenia and mortality in adult cancer patients receiving chemotherapy: a systematic review",Kuderer et al.,2007,exclude,0.95,S1,exclude,0.95,S1,exclude,
Cooper2011,"Granulocyte colony-stimulating factors for febrile neutropenia prophylaxis following chemotherapy: systematic review and meta-analysis",Cooper et al.,2011,exclude,0.95,S1,exclude,0.95,S1,exclude,
Mhaskar2014,"Colony-stimulating factors for chemotherapy-induced febrile neutropenia",Mhaskar et al.,2014,exclude,0.95,S1,exclude,0.95,S1,exclude,
Wang2015,"The impact of primary prophylaxis with granulocyte colony-stimulating factors on febrile neutropenia during chemotherapy: a systematic review and meta-analysis of randomized controlled trials",Wang et al.,2015,exclude,0.95,S1,exclude,0.95,S1,exclude,
